Sample ID,Sample Name,Object ID,Sr Number,1. Is the post still online?*,2. Is the post antisemitic according to IHRA-WDA?*,3. IHRA Section That Applies (check at least one)*,4. What content type transports the antisemitic message? (check all that apply)*,5. Is the post calling out or reporting on antisemitism?*,Time Taken
155,Sample4,1763342003629088804,1," If it is permanently offline or deleted, mark accordingly.", Confident antisemitic, 3.1.10 Drawing comparisons between Israeli policy and that of the Nazis, Written text, No,148
155,Sample4,1938027874079866986,2," If it is online, proceed to the next question.,  If it is permanently offline or deleted, mark accordingly.", Probably not antisemitic, None or n/a, Written text, No,229
155,Sample4,1942688481882620162,3," If it is online, proceed to the next question.", Confident not antisemitic, None or n/a," Audio (e.g., speech, music, sound effects, automated transcript)", No,42
155,Sample4,1853224245884850391,4," If it is online, proceed to the next question.", Confident not antisemitic, None or n/a, None or n/a, No,71
155,Sample4,1947984493035348044,5," If it is online, proceed to the next question.", Confident not antisemitic, None or n/a, None or n/a, No,15
155,Sample4,1809140786673356904,6," If it is online, proceed to the next question.", Probably antisemitic, 3.1.3 Blaming the Jews as a people for what a single person or group has done, Written text, No,77
155,Sample4,1937486897502388372,7," If it is online, proceed to the next question.", Confident not antisemitic, None or n/a, None or n/a, No,15
155,Sample4,1933644653045428598,8," If it is online, proceed to the next question."," Probably antisemitic,  Confident antisemitic"," 3.1.7 Denying the Jewish people right to self-determination, e.g., ‘Israel is racist per se’"," Visuals / imagery / video,  Post description, hashtag, or username", No,157
155,Sample4,1739239938594570509,9," If it is online, proceed to the next question.", Confident antisemitic," 3.1.7 Denying the Jewish people right to self-determination, e.g., ‘Israel is racist per se’,  3.1.11 Holding Jews collectively responsible for actions of the state of Israel"," Written text,  Post description, hashtag, or username", No,46
155,Sample4,1947042844939899178,10," If it is online, proceed to the next question."," I don’t know,  Confident antisemitic", 3.1.11 Holding Jews collectively responsible for actions of the state of Israel," Audio (e.g., speech, music, sound effects, automated transcript),  Post description, hashtag, or username", No,71
