Object ID,antisemitism_clean_danielm,is_antisemitic_danielm,ihra_sections_danielm,content_type_danielm,annotator_danielm,antisemitism_clean_dshink,is_antisemitic_dshink,ihra_sections_dshink,content_type_dshink,annotator_dshink
1763342003629088804,Confident antisemitic,True," 1.0 Hatred towards Jews,  3.1.1 Justifying harming of Jews in the name of a radical ideology,  3.1.10 Drawing comparisons between Israeli policy and that of the Nazis"," Written text,  Post description, hashtag, or username",danielm,Confident antisemitic,True, 3.1.10 Drawing comparisons between Israeli policy and that of the Nazis, Written text,dshink
1938027874079866986,Confident not antisemitic,True, None or n/a, None or n/a,danielm,Probably not antisemitic,True, None or n/a, Written text,dshink
1942688481882620162,Probably not antisemitic,True, None or n/a, None or n/a,danielm,Confident not antisemitic,True, None or n/a," Audio (e.g., speech, music, sound effects, automated transcript)",dshink
1853224245884850391,Confident not antisemitic,True, None or n/a, None or n/a,danielm,Confident not antisemitic,True, None or n/a, None or n/a,dshink
1947984493035348044,Confident not antisemitic,True, None or n/a, None or n/a,danielm,Confident not antisemitic,True, None or n/a, None or n/a,dshink
1809140786673356904,Confident not antisemitic,True, None or n/a, None or n/a,danielm,Probably antisemitic,True, 3.1.3 Blaming the Jews as a people for what a single person or group has done, Written text,dshink
1937486897502388372,Confident not antisemitic,True, None or n/a, None or n/a,danielm,Confident not antisemitic,True, None or n/a, None or n/a,dshink
1933644653045428598,Confident not antisemitic,True, None or n/a, None or n/a,danielm,"Probably antisemitic,  Confident antisemitic",True," 3.1.7 Denying the Jewish people right to self-determination, e.g., ‘Israel is racist per se’"," Visuals / imagery / video,  Post description, hashtag, or username",dshink
1739239938594570509,Confident antisemitic,True," 1.0 Hatred towards Jews,  3.1.11 Holding Jews collectively responsible for actions of the state of Israel"," Written text,  Post description, hashtag, or username",danielm,Confident antisemitic,True," 3.1.7 Denying the Jewish people right to self-determination, e.g., ‘Israel is racist per se’,  3.1.11 Holding Jews collectively responsible for actions of the state of Israel"," Written text,  Post description, hashtag, or username",dshink
1947042844939899178,Probably not antisemitic,True, None or n/a, None or n/a,danielm,"I don’t know,  Confident antisemitic",True, 3.1.11 Holding Jews collectively responsible for actions of the state of Israel," Audio (e.g., speech, music, sound effects, automated transcript),  Post description, hashtag, or username",dshink
1805085234112651538,Probably antisemitic,True," 1.0 Hatred towards Jews,  3.1.3 Blaming the Jews as a people for what a single person or group has done", Written text,danielm,Confident antisemitic,True, 3.1.3 Blaming the Jews as a people for what a single person or group has done, Written text,dshink
1840147670746181794,Probably not antisemitic,True, None or n/a, None or n/a,danielm,"Probably antisemitic,  Confident antisemitic",True," 3.1.7 Denying the Jewish people right to self-determination, e.g., ‘Israel is racist per se’"," Visuals / imagery / video,  Post description, hashtag, or username",dshink
1930350127740530948,Probably not antisemitic,True, None or n/a, None or n/a,danielm,Probably not antisemitic,True," 3.1.7 Denying the Jewish people right to self-determination, e.g., ‘Israel is racist per se’", Written text,dshink
1943279125428355400,Confident not antisemitic,True, None or n/a, None or n/a,danielm,Confident not antisemitic,True, None or n/a, None or n/a,dshink
1928984826817708052,Probably antisemitic,True," 1.0 Hatred towards Jews,  3.1.1 Justifying harming of Jews in the name of a radical ideology", Visuals / imagery / video,danielm,Confident antisemitic,True," 1.0 Hatred towards Jews,  3.1.7 Denying the Jewish people right to self-determination, e.g., ‘Israel is racist per se’"," None or n/a,  Visuals / imagery / video",dshink
1840120083001098620,Probably not antisemitic,True, None or n/a, None or n/a,danielm,Confident antisemitic,True, 1.0 Hatred towards Jews, Written text,dshink
1942593895864623271,Confident not antisemitic,True, None or n/a, None or n/a,danielm,Probably not antisemitic,True, 1.0 Hatred towards Jews," None or n/a,  Post description, hashtag, or username",dshink
1937521578633498696,Confident not antisemitic,True, None or n/a, None or n/a,danielm,Probably antisemitic,True,None or n/a," Post description, hashtag, or username",dshink
1939129399527514137,Confident not antisemitic,True, None or n/a, None or n/a,danielm,Confident not antisemitic,True, None or n/a," None or n/a,  Post description, hashtag, or username",dshink
1848745691088359700,Confident not antisemitic,True, None or n/a, None or n/a,danielm,Confident antisemitic,True," 1.0 Hatred towards Jews,  3.1.11 Holding Jews collectively responsible for actions of the state of Israel"," Written text,  Visuals / imagery / video",dshink
1775957788138651862,I don’t know,False, None or n/a, None or n/a,danielm,Confident antisemitic,True," 1.0 Hatred towards Jews,  3.1.7 Denying the Jewish people right to self-determination, e.g., ‘Israel is racist per se’,  3.1.8 Applying double standards to Israel (e.g., expectations not required of other nations)"," Post description, hashtag, or username,  Link to antisemitic text or video",dshink
1935351344350523892,Confident not antisemitic,True, None or n/a, None or n/a,danielm,Confident antisemitic,True," 1.0 Hatred towards Jews,  3.1.7 Denying the Jewish people right to self-determination, e.g., ‘Israel is racist per se’,  3.1.8 Applying double standards to Israel (e.g., expectations not required of other nations),  3.1.9 Using classic antisemitic tropes (e.g., blood libel) to characterize Israel or Israelis", Written text,dshink
1745746128812093859,Probably not antisemitic,True, None or n/a, None or n/a,danielm,Confident antisemitic,True," 1.0 Hatred towards Jews,  3.1.1 Justifying harming of Jews in the name of a radical ideology", Link to antisemitic text or video,dshink
1849470263274148302,Confident not antisemitic,True, None or n/a, None or n/a,danielm,Confident antisemitic,True," 1.0 Hatred towards Jews,  3.1.2 Mendacious or stereotypical allegations about Jews as such + Jewish power", Link to antisemitic text or video,dshink
