,Text,custom_annotation
0,RT @AgainstRevisio1: More information on Polish �collaboration� and the �betrayal� of Jews� https://t.co/mswX7XHMpq,NOT-HATE
1,"The ADL’s own staff of experts routinely leak and organize against the harm of its leadership to Jews, Muslims, Black Americans and activists of every background. They are not our friends #DroptheADL  https://t.co/ipXJfEpNjd",NOT-HATE
2,"Matthew 27:46 \nAnd about the ninth hour (3pm Israel time) Jesus cried with a loud voice, saying, Eli, Eli, lama sabachthani? that is to say, My God, my God, why hast thou forsaken me? https://t.co/tKLGj0dUjR",NOT-HATE
3,Absolutely right. No Jews voted for Chief Rabbi Mirvis. It is an unelected position. He speaks only for himself not for other Jews. His dishonest attempt to grab headlines at the expense of Labour' race+faith launch is beneath contempt. https://t.co/XfFdaydRg1,NOT-HATE
4,Now that Trump's criminality has been exposed I am guessing  Kushner's days of running back &amp; forth 2 Israel are over. \n\nWhen all is said and done just four countries were strong armed into normalising relations w/Israel. \n\nAll 4 countries that BTW are serial human rights abusers,NOT-HATE
5,@VerumEstLiberta @Jerusalem_Post because those same jews have made it clear they do not support what Israel is doing to Palestinians.,HATE
6,"The Quran tells us that Muslims are superior to Jews &amp; Christians. And that Allah does NOT love Jews &amp; Christians, who are the worst of creatures including animals. #ISLAM #Sharia #ShariaKills #StopIslam #BanSharia #dkpol #svpol https://t.co/G8vZA2HgZj",HATE
7,@ChaimDeutsch What possible explaination could those Hasidic Jews have for congregating in the thousands during this global pandemic crisis? They blatantly broke the law and put my life and my fellow New Yorker’s life in danger. I couldn’t be prouder of what mayor Deblasio did and said.,HATE
8,"@patriottakes Yeah, remember how the Nazis tried to make the Jews get life-saving medication and they refused?",HATE
9,RT @I_amMukhtar: Big up this man for calling out apartheid Israel. https://t.co/mxg1cKNsWj,NOT-HATE
10,Note the “Death to Israel” - wonder what this person’s plans are for the 7 million Jews that live there https://t.co/Iamuj0Mdmr https://t.co/PgN6O0ZDGe,NOT-HATE
11,"RT @SaraEisen: Where is Adidas? A German company that traces its roots to the Dassler brothers, members of Nazi party, whose shoe factory produced weapons during WW2, still has no comment 3 days after its key partner said heâ€™s going defcon 3 on Jews. Instead Adidas released new Yeezys this week",NOT-HATE
12,"""This deal came together as a result of negotiations between Israel and the United Arab Emirates, facilitated and led by the United States,"" Jared Kushner writes. \n\nA strategic policy shift by President Trump three and a half years ago laid the foundation. https://t.co/SebqD7IZox",NOT-HATE
13,The Truth Israel Doesn't Want You to Hear https://t.co/X6w3enqbQB,HATE
