,Biased,Text
0,0,Talmud Destroyer is yet another earnest ADL critic whose sole issue is its approach to content moderation. Definitely no other problems with Jews. No sir.
1,0,"No, Musk did not blame the Jews, assh*le. He blamed a radical leftwing Obama hack who took control of a once revered ADL and turned it into a crap organization that doesn’t even support Israel, and promotes CRT, censorship, and the usual Democrat Party garbage. You want to talk antisemitism thy names are Obama, Biden, and scores of other vile Democrats.
https://finance.yahoo.com/news/column-elon-musk-comes-around-181016523.html"
2,0,"What can you expect from the leader of a society that is 93% antisemitic?

Abbas, who did a dissertation denying the Holocaust, claims Hitler didn’t kill Jews out of antisemitism rather because of their “usury”"
3,0,"As a Jew, I must say fuck the Azov battalion supporting ADL."
4,0,???? Putin: “It’s disgusting that an ethnic Jew is used to cover up the glorification of N?zism and those who led the Holoc?ust in Ukraine.”
5,0,"During our call, 
@Netanyahu
 and I discussed how to ensure that the visa-free functions fully for Ukrainian citizens, as well as how to secure the safety of Hasidic Jews on their yearly pilgrimage to Uman.

Ukraine has always warmly welcomed pilgrims and took responsibility for their safety. Given the threat of Russian missiles and Iranian drones, this year’s pilgrimage comes with high security risks. Our bomb shelters have a capacity for around 11 thousand people. Swift joint action is required to ensure the safety of more people.

We also discussed ways for Israel to support Ukraine in countering Russian aggression, as well as the international cooperation between our states."
6,0,"And the latest thing ""the Jews stole"" is... 

* ????*   

The Brit Milah!"
7,0,"*sigh* another ridiculous Holocaust revision that's making its rounds that needs to be debunked. 

No there were no swimming pools for prisoners, especially Jews at the Auschwitz concentration camp.

This was a water reservoir meant for putting out fires. Eventually *guards* used it as a pool. 

This image is from a documentary about survivor stories of six women called ""Swimming in Auschwitz""."
8,0,Elon is now blaming the Jews for Trump getting banned from Twitter
9,0,"Remember Samson and Delilah? David and Goliath? Biblical legends of Jews fighting with Philistines. In 12-10 century  BCE. Who were Greek invaders in five coastal cities - Gaza, Ashkelon, Ashdod, Gat and Ekron. Look at this brown strip on the map. The real Palestinians."
10,0,There's no way that this sandwich is legal.
11,0,"10 September 1937 | A Belgian Jewish boy, Marcel Alter, was born in Brussels. He lived in the Netherlands.

He arrived at #Auschwitz on 30 September 1942 in a transport of 610 Jews deported from #Westerbork. He was among 454 of them murdered in a gas chamber."
12,0,"""In an unprecedented move, the Vatican on Sunday beatified a Polish family of nine — a married couple and their small children — who were executed by the Nazis during World War II for sheltering Jews.

The Ulmas were killed at home by German Nazi troops and by Nazi-controlled local police in the small hours of March 24, 1944, together with the eight Jews they were hiding at their home, after they were apparently betrayed.

Jozef Ulma, 44, was a farmer, Catholic activist and amateur photographer who documented family and village life. He lived with his 31-year-old wife Wiktoria; their daughters Stanislawa, 7; Barbara, 6; Maria, 18 months; and sons Wladyslaw, 5; Franciszek, 3; and Antoni, 2.

With them were killed 70-year-old Saul Goldman with his sons Baruch, Mechel, Joachim and Mojzesz, along with Golda Grunfeld and her sister Lea Didner with her little daughter Reszla."""
13,0,"10 September 1893 | A Polish Jew, Mortka Gorlicki, was born in Chmielnik. He emigrated to France.

He arrived at #Auschwitz on 4 September 1943 in a transport of 1,000 Jews deported from Drancy. He was among 662 of them murdered in gas chambers after the selection."
14,0,"Isn't it interesting that the people who relish calling Israelis ""Nazis"" are the ones who support and praise organizations who explicitly say they want to murder seven million more Jews?"
15,0,"Get Ready for a Night of Brilliance! ????  

Our Top 50 Most Influential Jews Gala Evening is approaching! ?  

Don't miss this extraordinary opportunity to mingle with the most  creative, innovative, and successful individuals shaping our world.  

Secure Your VIP Ticket NOW ?? http://jpost.com/50jews23-event/"
16,0,"Ukrainians and Russian used to live in peace for 100s of years, they would marry, mix to the point of not seeing or knowing the difference.
Then came EU and US, poured 5 billion dollars into Ukraine, pushed Nazi ideology, hijacked Ukraine's democracy....

Jews and Arabs, lived at peace with each other for thousands of years, then came the Zionists, Eastern Europeans converted to judaism, not even speaking Hebrew and with massive US/Western funding started to take up land and divide Jews and Arabs. They created Israel as an advance base in the Middle East to disrupt the Arab World.

It is ALWAYS about an external elements that uses the ancient strategy of ""divide and control"".
Never forget.... jews and Arabs were always brothers, Ukrainians and Russians were always brothers, Evil powers destroyed that."
17,0,"I am honored to be working with Hooman Khalili to bring the murals project to Israel. 

Together we have brought 5 murals supporting the people of Iran to the streets of Israel, a collaboration between Arabs and Jews in Israel standing in solidarity with the people of Iran against the regime. Each square contains a photo of a victim of the regime in the last year, over 1020 victims are featured and repeated several times. 

Today I’m excited to share the first mural honouring #MahsaAmini in my city, Tel Aviv!
#israelisloveiranians #mahsaday"
18,0,"Twitter's crack moderation in action:

Cartoonishly antisemitic post blaming Jews for 9/11 -> all good

Reply making fun of the antisemitic post -> Hidden because it ""may violate X's rules against Hateful Conduct"""
19,0,Had the honor of talking to Norwegian Foreign Minister Anniken Huitfeldt about the Palestinians and relations between Jews and Arabs inside Israel.
20,0,"https://youtu.be/K9Eu3upZNnQ
The Diaspora Jews Of Italy  ??
IUIC DIASPORA ??
••••••••••••••••••••••••••••••••••••
Visit Our Website Here ???????????
??https://solo.to/unitedinchrist"
21,0,"September 12, 1916: Dorsey Assails Slaton and Jews https://leofrank.com/library/newspapers/new-york-times-1916-09-12-dorsey-assails-slaton-and-jews.pdf   (Tags: #NewYorkTimes #NYTimes #NYT #LeoFrank #Georgia #Atlanta)"
22,1,"""The Protocols"" and ""The International jew"" were forewarning agreements provided by the jews, notifying of the takeover. The same script from the Torah (in re to Canaan), nothing new.

Muh 'they were right!' is the proof for the mission accomplished.

Did anyone learn the lesson?"
23,1,"Evilest Jews (ultimate list)

1. Chaya Raichik 
2. Henry Kissinger 
3. Ivanka Trump
4. HAIM
5. Meir Kahane
6. Larry David 
7. Ayn Rand
8. Franz Josef I of Austria-Hungary
9. My third cousin 
10. Moses Maimonides https://x.com/TransJewBecc/s/TransJewBecc/status/1701447001815077227"
24,0,"Rosh Hashanah: New Zionist simanim (symbols) for your meal - opinion: To deepen our vision, as 94% of Israeli Jews dip apples into honey, this Rosh Hashanah, let's add Zionist simanim (symbols) for unity. JPost http://dlvr.it/Sw19br"
25,1,Any online political figure that doesn’t speak about the pervasive parasitic relationship between the United States and Israel is either jewish or works for the jews. BAP being outed as a 1st generation Romanian jew is proof enough.
26,1,"Christians, White and Black, marched in the 60s for civil rights. Two (2) Jews died with James Chaney many more white and black Christians. The racism that comes from the Jewish community is by exploitation. Farrakhan is honest about how he feels, Jews are dishonest."
27,1,"The alleged Solomon's Temple does not even exist, it's a lie that only Jews believe it"
28,0,"????  Antisemitism is a growing global phenomenon, with Jews facing more cases of violent attacks and acts of discrimination than ever before. #mostshared #israel http://ign.translated.com/summary/en/4503"
29,0,"So it had nothing to do with the fact that the Palestinians have rejected every offer for peace, even when the Jews offered to give up 98% of their ancestral homeland. Every time, it is only the Jews who are demanded to make sacrifices. And every time, the Palestinians reject them. Because they will stop at nothing but to extinguish every Jew from their ancestral homeland, and retake every inch of it for ""Palestine.""

Do you figure your readers are imbeciles, Ken?"
